datetime,x (m),y(m)
23-Sep-2023 19:03:56,44.36,24.44
23-Sep-2023 19:13:56,63.57,27.23
23-Sep-2023 19:23:56,73.73,30.87
23-Sep-2023 19:33:57,45.90,11.65
23-Sep-2023 19:43:57,51.32,16.23
23-Sep-2023 19:53:57,97.74,37.23
23-Sep-2023 20:23:56,109.79,29.82
23-Sep-2023 20:33:57,67.67,20.18
23-Sep-2023 20:43:56,91.52,17.00
23-Sep-2023 20:53:56,90.54,25.41
23-Sep-2023 21:03:57,83.11,31.63
23-Sep-2023 21:13:57,86.74,30.60
23-Sep-2023 21:23:56,85.24,30.07
23-Sep-2023 21:33:56,87.35,28.39
23-Sep-2023 21:43:56,67.61,25.73
23-Sep-2023 21:53:56,60.20,19.57
23-Sep-2023 23:03:57,50.85,12.89
23-Sep-2023 23:23:56,48.96,17.26
23-Sep-2023 23:33:56,67.56,18.34
23-Sep-2023 23:43:56,76.32,18.72
23-Sep-2023 23:53:57,51.38,14.40
24-Sep-2023 00:03:57,54.90,16.36
24-Sep-2023 00:13:56,67.59,18.35
24-Sep-2023 00:23:57,68.31,16.15
24-Sep-2023 00:33:57,54.45,14.80
24-Sep-2023 00:43:57,75.35,15.21
24-Sep-2023 00:53:56,77.42,18.29
24-Sep-2023 01:23:56,36.35,16.30
24-Sep-2023 01:33:56,52.94,17.24
24-Sep-2023 01:53:57,56.23,19.33
24-Sep-2023 02:03:56,58.41,18.45
24-Sep-2023 02:13:57,53.83,13.21
24-Sep-2023 02:23:57,46.19,16.73
24-Sep-2023 02:33:57,58.31,14.81
24-Sep-2023 02:43:57,54.37,14.77
24-Sep-2023 02:53:57,53.21,13.51
24-Sep-2023 03:03:56,61.62,18.91
24-Sep-2023 03:13:57,48.94,17.25
24-Sep-2023 03:23:57,58.04,16.79
24-Sep-2023 03:33:56,44.62,15.74
24-Sep-2023 03:43:57,51.83,15.93
24-Sep-2023 03:53:56,72.65,25.65
24-Sep-2023 04:03:56,44.58,15.74
24-Sep-2023 04:13:57,26.24,4.86
24-Sep-2023 04:23:56,56.20,26.31
24-Sep-2023 04:33:57,49.17,20.59
24-Sep-2023 04:43:56,60.32,30.06
24-Sep-2023 04:53:57,79.15,27.18
24-Sep-2023 05:03:57,79.29,30.89
24-Sep-2023 05:13:57,63.70,32.40
24-Sep-2023 05:43:57,57.89,20.40
24-Sep-2023 05:53:56,77.16,31.56
24-Sep-2023 06:03:57,70.34,30.13
24-Sep-2023 19:54:00,97.48,23.04
